,x,y,psi,curvature
0,-759.924626,-575.040767,-0.5276407514837468,3.6882146310844555e-17
1,-759.8382127021255,-575.0911244259432,-0.5276377966631698,5.909641519156899e-05
2,-759.7517991173363,-575.1414813349912,-0.5276289321992481,0.00011819287419148146
3,-759.6653849587178,-575.191837210249,-0.5276141580854128,0.00017728942074631953
4,-759.5789699393554,-575.2421915348211,-0.527593474310726,0.00023638609847895716
5,-759.4925537723345,-575.2925437918128,-0.5275668808598962,0.0002954829508267605
6,-759.4061361707405,-575.3428934643285,-0.5275343777133001,0.0003545800209797482
7,-759.3197168476587,-575.3932400354734,-0.5274959648470103,0.0004136773518187504
8,-759.2332955161745,-575.443582988352,-0.5274516422328294,0.0004727749858535633
9,-759.1468718893732,-575.4939218060694,-0.5274014098383301,0.0005318729651611013
10,-759.0604456803402,-575.5442559717302,-0.5273452676269015,0.0005909713313235434
11,-758.9740166021609,-575.5945849684394,-0.5272832155578019,0.000650070125366476
12,-758.8875843679207,-575.6449082793018,-0.5272152535862177,0.0007091693876970285
13,-758.801148690705,-575.6952253874223,-0.5271413816633278,0.000768269158042004
14,-758.714709283599,-575.7455357759056,-0.527061599736375,0.0008273694753860036
15,-758.6282658596881,-575.7958389278567,-0.5269759077487436,0.0008864703779095403
16,-758.5418181320579,-575.8461343263804,-0.5268843056400423,0.0009455719029271518
17,-758.4553658137934,-575.8964214545813,-0.5267867933461945,0.0010046740868254968
18,-758.3689086179803,-575.9466997955645,-0.5266833707995335,0.0010637769650014488
19,-758.2824462577038,-575.9969688324347,-0.5265740379289054,0.001122880571800178
20,-758.1959784460494,-576.0472280482968,-0.5264587946597771,0.0011819849404532245
21,-758.1095048961023,-576.0974769262557,-0.5263376409143499,0.0012410901030165608
22,-758.0230253209479,-576.1477149494161,-0.5262105766116814,0.0013001960903086453
23,-757.9365394336717,-576.197941600883,-0.5260776016678117,0.001359302931848462
24,-757.8500469473589,-576.2481563637612,-0.5259387159958966,0.0014184106557935553
25,-757.763547575095,-576.2983587211553,-0.5257939195063467,0.001477519288878045
26,-757.6770410299654,-576.3485481561703,-0.525643212106973,0.0015366288563506394
27,-757.5905270250553,-576.3987241519112,-0.5254865937031384,0.001595739381912628
28,-757.5040052734503,-576.4488861914824,-0.5253240641979159,0.0016548508876558675
29,-757.4174754882355,-576.4990337579893,-0.525155623492252,0.0017139633940007563
30,-757.3309373824962,-576.5491663345364,-0.5249812714851375,0.001773076919634193
31,-757.2443906693182,-576.5992834042286,-0.5248010080737837,0.001832191481447526
32,-757.1578350617867,-576.6493844501706,-0.5246148331538054,0.0018913070944744927
33,-757.071270272987,-576.6994689554675,-0.524422746619409,0.0019504237718291407
34,-756.9846960160044,-576.7495364032239,-0.5242247483635887,0.0020095415246437418
35,-756.8981120039243,-576.7995862765448,-0.5240208382783265,0.0020686603620066963
36,-756.8115179498321,-576.8496180585349,-0.5238110162548004,0.0021277802909004193
37,-756.7249135668133,-576.8996312322993,-0.5235952821835989,0.002186901316139224
38,-756.6382985679531,-576.9496252809424,-0.5233736359549391,0.0022460234403071846
39,-756.5516726663369,-576.9995996875695,-0.5231460774588942,0.002305146663695997
40,-756.4650355750501,-577.0495539352851,-0.5229126065856252,0.002364270984242827
41,-756.3783870071782,-577.0994875071942,-0.5226732232256203,0.0024233963974681478
42,-756.2917266758062,-577.1493998864016,-0.5224279272699381,0.002482522896413567
43,-756.2050542940196,-577.1992905560121,-0.5221767186104607,0.0025416504715796533
44,-756.1183695749041,-577.2491589991305,-0.5219195971401487,0.0026007791108637423
45,-756.0316722315448,-577.2990046988618,-0.5216565627533065,0.002659908799497749
46,-755.9449619770271,-577.3488271383108,-0.5213876153458509,0.0027190395199859687
47,-755.8582385244364,-577.3986258005821,-0.5211127548155872,0.002778171252042866
48,-755.771501586858,-577.4484001687808,-0.5208319810624914,0.0028373039725308764
49,-755.6847508773772,-577.4981497260117,-0.5205452939889984,0.0028964376553981836
50,-755.5979861090796,-577.5478739553796,-0.5202526935002967,0.0029555722716165145
51,-755.5112069950504,-577.5975723399893,-0.5199541795046289,0.003014707789118925
52,-755.424413248375,-577.6472443629455,-0.5196497519135989,0.003073844172737577
53,-755.3376045821389,-577.6968895073533,-0.5193394106424849,0.0031329813841415397
54,-755.2507807094273,-577.7465072563174,-0.5190231556105592,0.0031921193817745722
55,-755.1639413433256,-577.7960970929427,-0.5187009867414134,0.003251258120792921
56,-755.077086196919,-577.845658500334,-0.5183729039632905,0.0033103975530031295
57,-754.9902149832933,-577.8951909615962,-0.5180389072094227,0.003369537626799842
58,-754.9033274155336,-577.944693959834,-0.5176989964183764,0.003428678287103629
59,-754.8164232067253,-577.9941669781523,-0.5173531715344016,0.0034878194752988195
60,-754.7295020699538,-578.043609499656,-0.5170014325077898,0.00354696112917135
61,-754.6425637183044,-578.0930210074498,-0.5166437792952364,0.0036061031828466244
62,-754.5556078648623,-578.1424009846387,-0.5162802118602094,0.003665245566727396
63,-754.4686342227133,-578.1917489143275,-0.5159107301733259,0.003724388207431673
64,-754.3816425049425,-578.2410642796209,-0.5155353342127323,0.003783531027730636
65,-754.2946324246353,-578.2903465636239,-0.5151540239644934,0.0038426739464865966
66,-754.2076036948771,-578.3395952494412,-0.5147667994229855,0.0039018168785909645
67,-754.1205560287533,-578.3888098201777,-0.5143736605912971,0.003960959734902262
68,-754.0334891393492,-578.4379897589383,-0.5139746074816348,0.004020102422184165
69,-753.9464027397499,-578.4871345488277,-0.5135696401157364,0.004079244843043573
70,-753.8592965430414,-578.536243672951,-0.5131587585252891,0.0041383868958687325
71,-753.7721702623086,-578.5853166144127,-0.5127419627523554,0.0041975284747673945
72,-753.685023610637,-578.6343528563178,-0.5123192528498028,0.00425666946950501
73,-753.5978563011121,-578.6833518817712,-0.5118906288817427,0.004315809765442994
74,-753.510668046819,-578.7323131738775,-0.5114560909239727,0.004374949243477015
75,-753.4234585608431,-578.7812362157417,-0.5110156390644268,0.004434087779975369
76,-753.3362275562699,-578.8301204904687,-0.510569273403631,0.0044932252467173904
77,-753.2489747461849,-578.8789654811633,-0.5101169940551656,0.004552361510831933
78,-753.1616998436732,-578.9277706709303,-0.509658801146133,0.004611496434735924
79,-753.0744025618204,-578.9765355428746,-0.509194694817632,0.004670629876072978
80,-752.9870826137117,-579.0252595801009,-0.5087246752252382,0.0047297616876520975
81,-752.8997397124324,-579.0739422657141,-0.5082487425394909,0.004788891717386444
82,-752.812373571068,-579.122583082819,-0.507766896946385,0.004848019808232197
83,-752.7249839027039,-579.1711815145205,-0.5072791386478704,0.004907145798127498
84,-752.6375704204254,-579.2197370439235,-0.5067854678623568,0.004966269519931496
85,-752.550132837318,-579.2682491541327,-0.5062858848252242,0.005025390801363478
86,-752.4626708664669,-579.316717328253,-0.50578038978934,0.005084509464942113
87,-752.3751842209574,-579.3651410493893,-0.505268983025583,0.005143625327924799
88,-752.287672613875,-579.4135198006463,-0.5047516648233711,0.005202738202247121
89,-752.2001357583051,-579.4618530651289,-0.5042284354911978,0.005261847894462435
90,-752.1125733673332,-579.5101403259421,-0.5036992953571724,0.00532095420568156
91,-752.0249851540444,-579.5583810661903,-0.5031642447695682,0.005380056931512625
92,-751.9373708315242,-579.6065747689788,-0.502623284097375,0.005439155862001026
93,-751.8497301128579,-579.6547209174122,-0.5020764137308591,0.00549825078156953
94,-751.762062711131,-579.7028189945954,-0.5015236340821274,0.00555734146895854
95,-751.6743683394285,-579.7508684836332,-0.5009649455857003,0.0056164276971664975
96,-751.5866467108362,-579.7988688676305,-0.5004003486990871,0.00567550923339045
97,-751.4988975384395,-579.8468196296922,-0.4998298439033705,0.005734585838966778
98,-751.4111205353234,-579.8947202529229,-0.4992534317037948,0.005793657269312114
99,-751.3233154145736,-579.9425702204275,-0.4986711126303611,0.00585272327386442
100,-751.2354819262911,-579.9903690818412,-0.4980875370439544,0.005722459584396514
101,-751.1476207081822,-580.0381179821333,-0.4975316095507371,0.005396091426038876
102,-751.0597333061725,-580.0858196986568,-0.4970083185209878,0.005069730394698567
103,-750.9718213073263,-580.1334770827067,-0.49651766322092766,0.004743376884050149
104,-750.8838862987083,-580.1810929855772,-0.49605964288559656,0.004417031125785054
105,-750.7959298673827,-580.2286702585632,-0.49563425673452943,0.004090693200052854
106,-750.7079536004142,-580.2762117529593,-0.4952415039863881,0.003764363045900819
