time_stamp,data_value
1686646103.433818,-43.200001
1686646103.443664,-42.700001
1686646103.453801,-42.099998
1686646103.464187,-41.000000
1686646103.473737,-40.500000
1686646103.483808,-39.799999
1686646103.493973,-39.299999
1686646103.503657,-38.799999
1686646103.513775,-38.000000
1686646103.523709,-37.400002
1686646103.533785,-36.700001
1686646103.543670,-36.000000
1686646103.553788,-35.500000
1686646103.563418,-35.000000
1686646103.573661,-34.700001
1686646103.583677,-34.500000
1686646103.593828,-34.099998
1686646103.603674,-33.799999
1686646103.613836,-33.599998
1686646103.623540,-33.299999
1686646103.633679,-33.200001
1686646103.643675,-33.200001
1686646103.653801,-33.000000
1686646103.663256,-33.000000
1686646103.673978,-32.799999
1686646103.683814,-32.599998
1686646103.693912,-32.200001
1686646103.703743,-31.700001
1686646103.713817,-31.299999
1686646103.723715,-30.900000
1686646103.733834,-30.400000
1686646103.744669,-30.000000
1686646103.753815,-29.299999
1686646103.763309,-28.799999
1686646103.774681,-28.299999
1686646103.783469,-27.600000
1686646103.793685,-27.200001
1686646103.803680,-26.799999
1686646103.813811,-26.299999
1686646103.823686,-26.000000
1686646103.833844,-25.500000
1686646103.843689,-24.900000
1686646103.855811,-24.400000
1686646103.863340,-23.600000
1686646103.873723,-23.000000
1686646103.883829,-22.500000
1686646103.893984,-21.799999
1686646103.903354,-21.200001
1686646103.913690,-20.400000
1686646103.923687,-19.799999
1686646103.933817,-18.900000
1686646103.943688,-18.200001
1686646103.953829,-17.500000
1686646103.963356,-16.900000
1686646103.973622,-16.200001
1686646103.983677,-15.500000
1686646103.993801,-14.800000
1686646104.003677,-14.100000
1686646104.013797,-13.500000
1686646104.023690,-12.800000
1686646104.033818,-12.400000
1686646104.043394,-11.900000
1686646104.053702,-11.400000
1686646104.063366,-10.900000
1686646104.073736,-10.400000
1686646104.083841,-10.000000
1686646104.092927,-9.600000
1686646104.103718,-9.400000
1686646104.113825,-9.300000
1686646104.123703,-9.100000
1686646104.134057,-8.900000
1686646104.143883,-8.700000
1686646104.153850,-8.300000
1686646104.163476,-8.200000
1686646104.173713,-8.100000
1686646104.183450,-8.000000
1686646104.193874,-7.900000
1686646104.203706,-7.800000
1686646104.214018,-7.700000
1686646104.223720,-7.700000
1686646104.234098,-7.400000
1686646104.245972,-7.400000
1686646104.253820,-7.400000
1686646104.263572,-7.200000
1686646104.273705,-7.000000
1686646104.283794,-6.700000
1686646104.292945,-6.400000
1686646104.303752,-6.200000
1686646104.313858,-5.700000
1686646104.323587,-5.400000
1686646104.333705,-4.900000
1686646104.343705,-4.400000
1686646104.353815,-3.900000
1686646104.363598,-3.200000
1686646104.373702,-2.500000
1686646104.383714,-1.900000
1686646104.393866,-1.200000
1686646104.403706,-0.800000
1686646104.412833,-0.200000
1686646104.423724,0.400000
1686646104.433861,1.000000
1686646104.443703,1.700000
1686646104.453857,2.300000
1686646104.463648,3.000000
1686646104.473769,3.400000
1686646104.484161,3.800000
1686646104.493313,4.300000
1686646104.503741,4.700000
1686646104.514033,5.200000
1686646104.523708,5.700000
1686646104.532828,6.200000
1686646104.543729,6.800000
1686646104.553133,7.500000
1686646104.563781,7.900000
1686646104.573838,8.600000
1686646104.583755,9.400000
1686646104.593872,10.100000
1686646104.603902,10.900000
1686646104.614207,11.600000
1686646104.624082,12.300000
1686646104.633215,12.900000
1686646104.644175,13.500000
1686646104.653280,14.000000
1686646104.663368,14.200000
1686646104.673772,14.400000
1686646104.683394,14.500000
1686646104.693709,14.500000
1686646104.703585,14.500000
1686646104.713742,14.500000
1686646104.723576,14.600000
1686646104.733868,14.700000
1686646104.743739,14.800000
1686646104.754006,15.100000
1686646104.762890,15.700000
1686646104.774033,16.500000
1686646104.784000,17.299999
1686646104.794150,18.200001
1686646104.804103,19.200001
1686646104.813237,20.200001
1686646104.823573,21.000000
1686646104.833889,21.900000
1686646104.843372,22.600000
1686646104.853735,23.200001
1686646104.863442,23.900000
1686646104.873649,24.500000
1686646104.883845,24.600000
1686646104.894007,24.600000
1686646104.903700,24.700001
1686646104.914227,24.799999
1686646104.923848,24.799999
1686646104.934052,25.100000
1686646104.943918,25.400000
1686646104.954091,25.600000
1686646104.964096,25.600000
1686646104.973238,26.000000
1686646104.984100,26.400000
1686646104.993226,26.799999
1686646105.004069,27.299999
1686646105.014208,27.700001
1686646105.024096,28.400000
1686646105.033266,29.000000
1686646105.044106,29.799999
1686646105.053250,30.700001
1686646105.064109,31.600000
1686646105.073269,32.400002
1686646105.084123,33.099998
1686646105.093256,33.799999
1686646105.104129,34.400002
1686646105.113304,34.799999
1686646105.124136,35.500000
1686646105.134301,35.900002
1686646105.144128,36.200001
1686646105.153271,36.599998
1686646105.164157,36.799999
1686646105.174454,37.200001
1686646105.184184,37.599998
1686646105.193311,38.299999
1686646105.204141,38.900002
1686646105.213336,39.500000
1686646105.224174,40.400002
1686646105.233276,41.200001
1686646105.244252,42.099998
1686646105.253167,42.799999
1686646105.263197,43.599998
1686646105.273338,44.299999
1686646105.284203,45.099998
1686646105.293385,45.799999
1686646105.303187,46.400002
1686646105.313341,47.099998
1686646105.324192,47.500000
1686646105.333319,47.799999
1686646105.343217,48.000000
1686646105.353364,48.200001
1686646105.364235,48.200001
1686646105.373332,48.400002
1686646105.384214,48.500000
1686646105.394370,48.500000
1686646105.404238,48.599998
1686646105.414617,48.700001
1686646105.424237,48.700001
1686646105.434360,48.900002
1686646105.444242,48.900002
1686646105.453758,49.099998
1686646105.464288,49.299999
1686646105.474255,49.799999
1686646105.484252,50.299999
1686646105.494370,51.000000
1686646105.504259,51.799999
1686646105.514274,52.500000
1686646105.523250,53.299999
1686646105.533720,54.200001
1686646105.544279,55.200001
1686646105.553618,56.599998
1686646105.563324,57.900002
1686646105.574272,59.400002
1686646105.583263,60.700001
1686646105.593702,62.000000
1686646105.603263,63.299999
1686646105.613714,64.500000
1686646105.623297,65.699997
1686646105.633666,66.800003
1686646105.643299,67.699997
1686646105.653623,68.400002
1686646105.663427,68.800003
1686646105.673323,69.000000
1686646105.683310,69.099998
1686646105.693713,69.099998
1686646105.703305,69.199997
1686646105.713708,69.400002
1686646105.723330,69.699997
1686646105.733335,70.300003
1686646105.743341,71.099998
1686646105.753633,72.099998
1686646105.763361,73.300003
1686646105.773329,74.599998
1686646105.783359,76.000000
1686646105.793691,77.300003
1686646105.803796,78.199997
1686646105.813785,79.400002
1686646105.823572,80.400002
1686646105.833761,81.300003
1686646105.843721,81.699997
1686646105.853923,81.800003
1686646105.863865,81.800003
1686646105.874021,81.800003
1686646105.883836,81.800003
1686646105.892966,81.800003
1686646105.904044,81.699997
1686646105.913151,81.599998
1686646105.924168,81.400002
1686646105.933314,81.199997
1686646105.943446,81.000000
1686646105.953814,80.900002
1686646105.963417,80.800003
1686646105.973682,80.800003
1686646105.983486,80.800003
1686646105.993661,80.800003
1686646106.003620,80.800003
1686646106.013848,80.800003
1686646106.023738,80.800003
1686646106.033898,80.800003
1686646106.044058,80.699997
1686646106.054208,80.599998
1686646106.064037,80.599998
1686646106.073179,80.800003
1686646106.083158,80.500000
1686646106.093459,80.500000
1686646106.103439,80.300003
1686646106.113436,80.000000
1686646106.123461,79.500000
1686646106.133476,79.099998
1686646106.143510,78.699997
1686646106.153534,78.400002
1686646106.163483,78.199997
1686646106.173586,77.800003
1686646106.183563,77.599998
1686646106.193488,77.199997
1686646106.203465,76.900002
1686646106.213479,76.800003
1686646106.223500,76.900002
1686646106.233474,76.900002
1686646106.243499,76.900002
1686646106.253494,76.900002
1686646106.263474,77.000000
1686646106.273495,77.000000
1686646106.283504,76.800003
1686646106.293634,77.000000
1686646106.303512,77.300003
1686646106.313533,77.800003
1686646106.323512,78.699997
1686646106.333523,79.699997
1686646106.343513,80.800003
1686646106.353544,81.900002
1686646106.363532,83.000000
1686646106.373515,84.199997
1686646106.383545,85.300003
1686646106.393677,86.599998
1686646106.403543,87.800003
1686646106.413559,88.800003
1686646106.423562,89.500000
1686646106.433537,89.800003
1686646106.444561,90.000000
1686646106.454563,90.300003
1686646106.463572,90.800003
1686646106.474637,91.400002
1686646106.484573,92.099998
1686646106.493700,92.500000
1686646106.504570,92.900002
1686646106.514589,93.199997
1686646106.524586,93.500000
1686646106.533676,93.699997
1686646106.543653,94.300003
1686646106.553978,94.800003
1686646106.563597,95.199997
1686646106.573745,95.599998
1686646106.583593,95.599998
1686646106.593765,95.500000
1686646106.603642,95.599998
1686646106.613613,95.699997
1686646106.623595,95.800003
1686646106.633649,95.900002
1686646106.643631,96.099998
1686646106.653697,96.300003
1686646106.663640,96.500000
1686646106.673742,96.500000
1686646106.683640,96.599998
1686646106.693878,96.699997
1686646106.703635,96.699997
1686646106.713639,96.800003
1686646106.723639,97.199997
1686646106.733635,97.400002
1686646106.743665,97.699997
1686646106.753802,97.900002
1686646106.763686,98.400002
1686646106.773671,98.599998
1686646106.783771,99.099998
1686646106.793803,99.500000
1686646106.803692,99.599998
1686646106.813685,99.599998
1686646106.823693,99.599998
1686646106.833685,99.699997
1686646106.843904,99.699997
1686646106.853886,99.800003
1686646106.863693,99.699997
1686646106.873739,99.699997
1686646106.883688,99.599998
1686646106.893845,99.699997
