time,target_speed,acceleration,jerk,distance
0.0,3.0,-0.6012024048096087,-3.552713678800501e-13,0.03
0.01,2.993987975951904,-0.6012024048096123,-1.7763568394002505e-13,0.05993987975951904
0.02,2.987975951903808,-0.6012024048096123,-3.552713678800501e-15,0.08981963927855713
0.03,2.9819639278557113,-0.6012024048096123,-7.105427357601002e-15,0.11963927855711423
0.04,2.975951903807615,-0.6012024048096123,1.4210854715202004e-12,0.1493987975951904
0.05,2.969939879759519,-0.6012024048095839,-1.4210854715202004e-12,0.1790981963927856
0.06,2.963927855711423,-0.6012024048096407,3.552713678800501e-15,0.2087374749498998
0.07,2.9579158316633265,-0.6012024048095839,1.4175327578413999e-12,0.23831663326653307
0.08,2.9519038076152304,-0.6012024048096123,-2.8421709430404007e-12,0.2678356713426854
0.09,2.9458917835671343,-0.6012024048096407,3.552713678800501e-15,0.2972945891783567
0.1,2.9398797595190382,-0.6012024048096123,-3.552713678800501e-15,0.3266933867735471
0.11,2.9338677354709417,-0.6012024048096407,-1.4210854715202004e-12,0.3560320641282565
0.12,2.9278557114228456,-0.6012024048096407,1.4246381851990009e-12,0.38531062124248494
0.13,2.9218436873747495,-0.6012024048096123,1.4210854715202004e-12,0.4145290581162324
0.14,2.9158316633266534,-0.6012024048096123,-1.4210854715202004e-12,0.443687374749499
0.15,2.909819639278557,-0.6012024048096407,1.4210854715202004e-12,0.4727855711422846
0.16,2.903807615230461,-0.6012024048095839,2.8421709430404007e-12,0.5018236472945892
0.17,2.8977955911823647,-0.6012024048095839,-1.4210854715202004e-12,0.5308016032064129
0.18,2.8917835671342687,-0.6012024048096123,-2.8421709430404007e-12,0.5597194388777555
0.19,2.8857715430861726,-0.6012024048096407,-1.4210854715202004e-12,0.5885771543086172
0.2,2.879759519038076,-0.6012024048096407,1.4210854715202004e-12,0.617374749498998
0.21,2.87374749498998,-0.6012024048096123,1.4210854715202004e-12,0.6461122244488978
0.22,2.867735470941884,-0.6012024048096123,-1.4210854715202004e-12,0.6747895791583166
0.23,2.8617234468937878,-0.6012024048096407,-1.4210854715202004e-12,0.7034068136272545
0.24,2.8557114228456912,-0.6012024048096407,1.4210854715202004e-12,0.7319639278557114
0.25,2.849699398797595,-0.6012024048096123,1.4210854715202004e-12,0.7604609218436873
0.26,2.843687374749499,-0.6012024048096123,-1.4210854715202004e-12,0.7888977955911822
0.27,2.837675350701403,-0.6012024048096407,0.0,0.8172745490981963
0.28,2.8316633266533064,-0.6012024048096123,-3.552713678800501e-15,0.8455911823647294
0.29,2.8256513026052104,-0.6012024048096407,3.552713678800501e-15,0.8738476953907816
0.3,2.8196392785571143,-0.6012024048096123,1.4210854715202004e-12,0.9020440881763527
0.31,2.813627254509018,-0.6012024048096123,0.0,0.9301803607214428
0.32,2.8076152304609217,-0.6012024048096123,0.0,0.9582565130260521
0.33,2.8016032064128256,-0.6012024048096123,0.0,0.9862725450901804
0.34,2.7955911823647295,-0.6012024048096123,1.4210854715202004e-12,1.0142284569138276
0.35000000000000003,2.7895791583166334,-0.6012024048095839,-2.8457236567192012e-12,1.042124248496994
0.36,2.7835671342685373,-0.6012024048096691,-2.8386182293616002e-12,1.0699599198396792
0.37,2.7775551102204408,-0.6012024048096407,2.8421709430404007e-12,1.0977354709418838
0.38,2.7715430861723447,-0.6012024048096123,1.4210854715202004e-12,1.1254509018036072
0.39,2.7655310621242486,-0.6012024048096123,0.0,1.1531062124248497
0.4,2.7595190380761525,-0.6012024048096123,-1.4210854715202004e-12,1.1807014028056113
0.41000000000000003,2.753507014028056,-0.6012024048096407,-3.552713678800501e-15,1.2082364729458919
0.42,2.74749498997996,-0.6012024048096123,1.4246381851990009e-12,1.2357114228456914
0.43,2.741482965931864,-0.6012024048096123,-1.4210854715202004e-12,1.26312625250501
0.44,2.7354709418837677,-0.6012024048096407,-1.4210854715202004e-12,1.2904809619238478
0.45,2.729458917835671,-0.6012024048096407,1.4210854715202004e-12,1.3177755511022045
0.46,2.723446893787575,-0.6012024048096123,1.4210854715202004e-12,1.3450100200400803
0.47000000000000003,2.717434869739479,-0.6012024048096123,-1.4246381851990009e-12,1.3721843687374753
0.48,2.711422845691383,-0.6012024048096407,3.552713678800501e-15,1.399298597194389
0.49,2.7054108216432864,-0.6012024048096123,1.4210854715202004e-12,1.4263527054108218
0.5,2.6993987975951903,-0.6012024048096123,0.0,1.4533466933867738
0.51,2.693386773547094,-0.6012024048096123,0.0,1.4802805611222447
0.52,2.687374749498998,-0.6012024048096123,-1.4210854715202004e-12,1.5071543086172348
0.53,2.681362725450902,-0.6012024048096407,-1.4210854715202004e-12,1.5339679358717435
0.54,2.6753507014028055,-0.6012024048096407,1.4210854715202004e-12,1.5607214428857716
0.55,2.6693386773547094,-0.6012024048096123,1.4210854715202004e-12,1.587414829659319
0.56,2.6633266533066133,-0.6012024048096123,-1.4210854715202004e-12,1.614048096192385
0.5700000000000001,2.657314629258517,-0.6012024048096407,0.0,1.6406212424849702
0.58,2.6513026052104207,-0.6012024048096123,1.4210854715202004e-12,1.6671342685370742
0.59,2.6452905811623246,-0.6012024048096123,0.0,1.6935871743486977
0.6,2.6392785571142285,-0.6012024048096123,-1.4210854715202004e-12,1.71997995991984
0.61,2.6332665330661325,-0.6012024048096407,-1.4210854715202004e-12,1.7463126252505012
0.62,2.627254509018036,-0.6012024048096407,1.4210854715202004e-12,1.7725851703406814
0.63,2.62124248496994,-0.6012024048096123,1.4210854715202004e-12,1.798797595190381
0.64,2.6152304609218437,-0.6012024048096123,0.0,1.8249498997995994
